Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2024-01-06,Internal waters - Port area,Italy,Italy - DIGIFEMA,2024/000188,Serious,37°3' N,15°17' E,,12:48,0,0,ITALY - Siracusa,Not Investigated,Yes,Italy - Siracusa,0,,No,No,No,Ship - Other,Normal service - Moored,0.000,0.000,Unknown,Arrival,Yes,,,Passenger ship - Only passenger,ITALY - Augusta,ITALY - Siracusa,Contact - Floating object - Other,,,No
2024-03-01,Internal waters - Port area,Italy,Italy - DIGIFEMA,2024/003343,Marine incident,44°23.275' N,8°56.037' E,,16:30,0,0,,Not Investigated,Yes,Italy - Genova,0,,No,No,No,Ship - Other,Special service - Towing/pushing,0.000,0.000,Unknown,Arrival,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,ITALY - Catania,ITALY - Genoa,Collision - With other ship,,,No
2024-03-01,Internal waters - Port area,Italy,Italy - DIGIFEMA,2024/003343,Marine incident,44°23.275' N,8°56.037' E,,16:30,0,0,,Not Investigated,Yes,Italy - Genova,0,,No,,,Ship - Other,Special service - Towing/pushing,,,Unknown,Arrival,,,,Service ship - Tug (Towing/Pushing),ITALY - Genoa,ITALY - Genoa,Collision - With other ship,,,No
2024-02-08,Territorial sea,Norway,Norway - NSIA,2024/000787,Less Serious,69°39.2' N,17°13' E,,07:00,0,1,,Not Investigated,Yes,,0,,,,,Ship - Deck - Main deck,Fishing - Fishing,,,Unknown,Mid-water,,,,Fishing vessel,NORWAY - Husoy,NORWAY - Husoy,,Breakage; bursting; splitting; slipping; fall; collapse of Material Agent - Slip; fall; collapse of Material Agent - from above (falling on the victim),Accident,
2024-03-16,Territorial sea,France,France - BEAmer,2024/001186,Less Serious,47°15' N,2°37' W,,14:46,0,1,,Not Investigated,Yes,France - SRR ETEL,0,,,No,No,Ship - Deck - Freeboard deck,Fishing - Fishing,0.000,0.000,No routeing system,Mid-water,,,,Fishing vessel - Trawler - Stern,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2024-02-15,Internal waters - Archipelago fairway,Norway,Norway - NSIA,2024/000798,Very serious,59°15.5' N,5°3.46' E,,22:39,0,0,,Ongoing,Yes,,0,,Yes,,,Ship - Hull - Under waterline,Special service - Towing/pushing,,,Unknown,Mid-water,No,,,Service ship - Special purpose ship,NORWAY - Husoy,Unknown,Flooding/Foundering - Foundering,,,No
2024-01-22,Internal waters - Port area,Norway,Norway - NSIA,2024/000622,Less Serious,,,,17:10,0,1,,Not Investigated,Yes,,0,,,,,Engine department - Workshop / stores,Normal service - Moored,,,Unknown,Anchored or alongside,,,,Fishing vessel,None,None,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of hand-held tool (motorised or not) or of the material being worked by the tool,Accident,
2024-02-01,Internal waters - Other,Denmark,Denmark - DMAIB,2024/000501,Serious,54°34.16' N,11°55.62' E,,07:55,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Hull - Under waterline,Normal service - Manoeuvring,0.000,0.000,No routeing system,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo,GERMANY - Rostock,DENMARK - Gedser,Grounding/stranding - Power,,,No
2024-01-18,High sea - Within EEZ,France,France - BEAmer,2024/000260,Less Serious,49°54' N,0°55.8' W,No,17:22,0,1,,Not Investigated,Yes,France - SRR JOBOURG,0,,,No,No,Ship - Deck - Shelter deck (fishing boat),Fishing - Fishing,0.000,0.000,No routeing system,Mid-water,,,,Fishing vessel - Trawler - Stern,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2024-03-09,Internal waters - Port area,Malta,Malta - MSIU,2024/001119,Less Serious,53°27.657' N,3°1.193' W,Material damage - With operational consequences,08:07,0,0,UNITED KINGDOM - Liverpool,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,UNITED KINGDOM - Liverpool,GERMANY - Hamburg,Contact - Shore object,,,No
2024-03-09,Internal waters - Port area,Malta,Malta - MSIU,2024/001119,Less Serious,53°27.657' N,3°1.193' W,Material damage - With operational consequences,08:07,0,0,UNITED KINGDOM - Liverpool,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Under pilotage,0.000,0.000,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,UNITED KINGDOM - Liverpool,GERMANY - Hamburg,Contact - Shore object,,,No
2024-03-10,Internal waters - Channel; river,Germany,Germany - BSU,2024/001374,Marine incident,53°43.4' N,8°15.4' E,No,21:45,0,0,,Not Investigated,Yes,Germany - Weser / Fluss,0,No damage,No,No,No,Bridge - Wheelhouse,Normal service - At anchor,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,RUSSIAN FEDERATION - Kaliningrad,GERMANY - Brake,Loss of control - Loss of directional control,,,No
2024-03-10,Internal waters - Channel; river,Germany,Germany - BSU,2024/001374,Marine incident,53°43.4' N,8°15.4' E,No,21:45,0,0,,Not Investigated,Yes,Germany - Weser / Fluss,0,No damage,No,No,No,Cargo and tank areas - Chain locker,Normal service - At anchor,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,RUSSIAN FEDERATION - Kaliningrad,GERMANY - Brake,Loss of control - Loss of directional control,,,No
2024-02-16,High sea - Outside EEZ,Germany,Germany - BSU,2024/001551,Marine incident,53°58.9' N,8°24.4' E,,10:29,0,0,,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,0,,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,GERMANY - Wilhelmshaven,POLAND - Gdynia,Loss of control - Loss of directional control,,,No
2024-02-16,High sea - Outside EEZ,Germany,Germany - BSU,2024/001551,Marine incident,53°58.9' N,8°24.4' E,,10:29,0,0,,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,0,,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,Two-way route,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,GERMANY - Wilhelmshaven,POLAND - Gdynia,Loss of control - Loss of directional control,,,No
2023-12-18,Internal waters - Port area,Cyprus,Cyprus - MAIC,2023/006377,Less Serious,53°44.409' N,0°15.744' W,On person(s) - Injury,08:50,0,1,UNITED KINGDOM - Hull,Not Investigated,Yes,,0,,,No,No,Ship - Deck - Main deck,Normal service - Alongside,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,BELGIUM - Gent (Ghent),UNITED KINGDOM - Hull,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of hand-held tool (motorised or not) or of the material being worked by the tool,Accident,
2024-01-29,Internal waters - Channel; river,Germany,Germany - BSU,2024/001262,Marine incident,54°18.938' N,9°42.865' E,No,02:46,0,0,,Not Investigated,Yes,Germany - NOK / Strecke Breiholz - Kiel,0,No damage,No,No,No,Ship - Bow - Port - Above the waterline,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,LITHUANIA - Klaipeda,FRANCE - Caen,Contact - Shore object,,,No
2024-01-29,Internal waters - Channel; river,Germany,Germany - BSU,2024/001262,Marine incident,54°18.938' N,9°42.865' E,No,02:46,0,0,,Not Investigated,Yes,Germany - NOK / Strecke Breiholz - Kiel,0,No damage,No,No,No,Ship - Bow - Port - Above the waterline,Normal service - Manoeuvring,0.000,0.000,Two-way route,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,LITHUANIA - Klaipeda,FRANCE - Caen,Contact - Shore object,,,No
2023-12-23,High sea - Within EEZ,Cyprus,Cyprus - MAIC,2024/001244,Serious,51°29.6' N,6°4.7' W,No,08:30,0,0,,Not Investigated,Yes,,0,Material damage - Affecting structural integrity of the ship,No,No,No,Cargo and tank areas - Cargo hold,Normal service - In passage - Displacement mode,0.000,0.000,Unknown,Transit,Yes,,,Cargo ship - Solid Cargo - General Cargo,IRELAND - Dublin; Dublin,NETHERLANDS - Beverwijk,Fire/Explosion - Explosion,,,No
2024-03-07,Internal waters - Other,Malta,Malta - MSIU,2024/001289,Less Serious,35°54.5' N,14°30.715' E,No,03:20,0,0,,Not Investigated,Yes,Malta,0,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Below the waterline,Normal service - In passage - Displacement mode,0.000,0.000,No routeing system,Transit,No,,,Service ship - Offshore supply ship,MALTA - Valletta,MALTA - Valletta,Grounding/stranding - Power,,,No
2024-03-07,Internal waters - Other,Malta,Malta - MSIU,2024/001289,Less Serious,35°54.5' N,14°30.715' E,No,03:20,0,0,,Not Investigated,Yes,Malta,0,Minor damage (less than material damage),No,No,No,Ship - Bow - Port - Below the waterline,Normal service - In passage - Displacement mode,0.000,0.000,No routeing system,Transit,No,,,Service ship - Offshore supply ship,MALTA - Valletta,MALTA - Valletta,Grounding/stranding - Power,,,No
2024-02-06,Territorial sea,France,France - BEAmer,2024/002318,Serious,47°41.35' N,3°18.26' W,,00:36,0,0,,Not Investigated,Yes,France - SRR ETEL,0,,No,No,No,Ship - Hull - Under waterline,Fishing - Fishing,0.000,0.000,,Unknown,No,,,Fishing vessel - Trawler - Stern,FRANCE - Lorient,FRANCE - Lorient,Grounding/stranding - Power,,,Unknown
2024-01-23,Internal waters - Port area,Netherlands,Netherlands - DSB,2024/001313,Serious,51°53.531' N,4°20.462' E,,12:00,0,0,NETHERLANDS - Rotterdam,Not Investigated,Yes,,0,,No,No,No,Ship - Hull - Above waterline,Normal service - Berthing,0.000,0.000,No routeing system,Arrival,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,Unknown,NETHERLANDS - Rotterdam,Contact - Shore object,,,n/a
2023-12-20,High sea - Within EEZ,Netherlands,Netherlands - DSB,2024/000344,Serious,59°40.4' N,24°28.01' E,No,23:30,0,0,,Not Investigated,Yes,,0,Material damage - Affecting performance or operational characteristics of the ship,No,,,Engine department - Engine room,Normal service - In passage - Displacement mode,,,Unknown,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,NETHERLANDS - Amsterdam,Loss of control - Loss of propulsion power,,,No
2024-03-08,Territorial sea,Malta,Malta - MSIU,2025/006083,Less Serious,51°22.4' N,2°42' E,No,05:40,0,0,,Not Investigated,Yes,,0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.000,0.000,In a traffic lane,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,MOZAMBIQUE - Nacala,BELGIUM - Antwerpen,Loss of control - Loss of propulsion power,,,No
2023-12-19,Internal waters - Channel; river,Germany,Germany - BSU,2024/000122,Marine incident,53°56.35' N,8°36.89' E,,09:04,0,0,,Not Investigated,Yes,Germany - Elbe / Fluss,0,,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Unknown,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Contact - Shore object,,,No
2023-12-19,Internal waters - Channel; river,Germany,Germany - BSU,2024/000122,Marine incident,53°56.35' N,8°36.89' E,,09:04,0,0,,Not Investigated,Yes,Germany - Elbe / Fluss,0,,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Manoeuvring,0.000,0.000,Two-way route,Unknown,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Contact - Shore object,,,No
2024-03-12,Internal waters - Port area,Malta,Malta - MSIU,2024/001286,Serious,35°49.23' N,14°31.87' E,No,06:49,0,0,MALTA - Marsaxlokk,Not Investigated,Yes,Malta,0,No damage,No,No,n/a,Ship - Over side - Port - Above the waterline,Special service - Towing/pushing,0,0,Pilotage area,Arrival,n/a,,,Service ship - Tug (Towing/Pushing),MALTA - Marsaxlokk,MALTA - Marsaxlokk,Damage / loss of equipment,,,No
2024-03-12,Internal waters - Port area,Malta,Malta - MSIU,2024/001286,Serious,35°49.23' N,14°31.87' E,No,06:49,0,0,MALTA - Marsaxlokk,Not Investigated,Yes,Malta,0,No damage,No,No,n/a,Ship - Over side - Port - Above the waterline,Normal service - Manoeuvring,0,0,Pilotage area,Arrival,n/a,,,Service ship - Tug (Towing/Pushing),MALTA - Marsaxlokk,MALTA - Marsaxlokk,Damage / loss of equipment,,,No
2024-03-12,Internal waters - Port area,Malta,Malta - MSIU,2024/001286,Serious,35°49.23' N,14°31.87' E,No,06:49,0,0,MALTA - Marsaxlokk,Not Investigated,Yes,Malta,0,Material damage - Affecting performance or operational characteristics of the ship,No,No,n/a,,Normal service - Moored,,,Pilotage area,Anchored or alongside,n/a,,,Fishing vessel - Other,Unknown,MALTA - Marsaxlokk,Capsizing/Listing - Capsizing,,,No
2023-12-20,High sea - Within EEZ,Netherlands,Netherlands - DSB,2024/000334,Serious,52°28.05' N,4°30.03' E,,12:00,0,0,,Not Investigated,Yes,,0,Material damage - Affecting performance or operational characteristics of the ship,No,,,Engine department - Engine room,Normal service - In passage - Displacement mode,,,Unknown,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Loss of control - Loss of propulsion power,,,No
2023-12-28,Internal waters - Channel; river,Germany,Germany - BSU,2024/000226,Marine incident,53°58.083' N,8°32.713' E,No,13:18,0,0,,Not Investigated,Yes,Germany - Elbe / Fluss,0,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,Unknown,GERMANY - Hamburg,Loss of control - Loss of propulsion power,,,No
2023-12-28,Internal waters - Channel; river,Germany,Germany - BSU,2024/000226,Marine incident,53°58.083' N,8°32.713' E,No,13:18,0,0,,Not Investigated,Yes,Germany - Elbe / Fluss,0,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,Two-way route,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,Unknown,GERMANY - Hamburg,Loss of control - Loss of propulsion power,,,No
2024-02-16,Internal waters - Port area,Greece,Greece - HBMCI,2024/001149,Serious,38°34.001' N,23°17.245' E,,09:00,0,1,GREECE - Larimna,Not Investigated,Yes,Greece - NorthWest Aegean,0,,,No,No,Ship - Deck - Other,Normal service - Loading - Shore-to-ship,0.000,0.000,No routeing system,Anchored or alongside,,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Thessaloniki,TURKEY - Tuzla,,Breakage; bursting; splitting; slipping; fall; collapse of Material Agent - Slip; fall; collapse of Material Agent - from above (falling on the victim),Accident,
2024-02-16,Internal waters - Port area,Greece,Greece - HBMCI,2024/001149,Serious,38°34.001' N,23°17.245' E,,09:00,0,1,GREECE - Larimna,Not Investigated,Yes,Greece - NorthWest Aegean,0,,,No,No,Ship - Deck - Other,Normal service - Open/close door; hatches; etc.,0.000,0.000,No routeing system,Anchored or alongside,,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Thessaloniki,TURKEY - Tuzla,,Breakage; bursting; splitting; slipping; fall; collapse of Material Agent - Slip; fall; collapse of Material Agent - from above (falling on the victim),Accident,
2024-02-25,Internal waters - Port area,Greece,Greece - HBMCI,2024/001243,Less Serious,36°30.495' N,23°2.423' E,No,14:45,0,0,GREECE - Neapolis,Not Investigated,Yes,Greece - Kithira Sea,0,,No,No,No,Ship - Deck - Main deck,Normal service - Unloading - Ship-to-ship,0.000,0.000,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Barge,GREECE - Neapolis,GREECE - Neapolis,Damage / loss of equipment,,,No
2024-02-25,Internal waters - Port area,Greece,Greece - HBMCI,2024/001243,Less Serious,36°30.495' N,23°2.423' E,No,14:45,0,0,GREECE - Neapolis,Not Investigated,Yes,Greece - Kithira Sea,0,,No,No,No,Ship - Deck - Main deck,Normal service - Alongside,0.000,0.000,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Barge,GREECE - Neapolis,GREECE - Neapolis,Damage / loss of equipment,,,No
2023-12-21,Internal waters - Port area,Cyprus,Cyprus - MAIC,2024/001383,Less Serious,4°44.595' N,6°37.005' W,No,00:30,0,0,COTE D'IVOIRE - San-Pedro,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Accommodation - Laundry,Normal service - Alongside,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,COTE D'IVOIRE - Abidjan,COTE D'IVOIRE - San-Pedro,Fire/Explosion - Fire,,,No
2024-02-11,Internal waters - Port area,Malta,Malta - MSIU,2024/000743,Serious,22°44.588' S,41°53.349' W,Material damage - With operational consequences,08:56,0,0,BRAZIL - Other,Not Investigated,Yes,,0,No damage,No,No,n/a,N.A.,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,n/a,,,Passenger ship - Only passenger - International,BRAZIL - Santos,BRAZIL - Other,,,,No
2024-02-11,Internal waters - Port area,Malta,Malta - MSIU,2024/000743,Serious,22°44.588' S,41°53.349' W,Material damage - With operational consequences,08:56,0,0,BRAZIL - Other,Not Investigated,Yes,,0,No damage,No,No,n/a,N.A.,Normal service - Manoeuvring,0,0,No routeing system,Anchored or alongside,n/a,,,Passenger ship - Only passenger - International,BRAZIL - Santos,BRAZIL - Other,,,,No
2024-02-11,Internal waters - Port area,Malta,Malta - MSIU,2024/000743,Serious,22°44.588' S,41°53.349' W,Material damage - With operational consequences,08:56,0,0,BRAZIL - Other,Not Investigated,Yes,,0,Material damage - Affecting performance or operational characteristics of the ship,No,No,n/a,,Unknown,,,No routeing system,Unknown,n/a,,,Recreational craft - Motorboat,Unknown,Unknown,Capsizing/Listing - Capsizing,,,No
2024-01-14,Internal waters - Port area,Norway,Norway - NSIA,2024/000337,Less Serious,62°11.869' N,5°25.205' E,,23:32,0,0,,Not Investigated,Yes,,0,,No,,,Ship - Other,Normal service - Berthing,,,Unknown,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo,NORWAY - Other,NORWAY - Other,Contact - Shore object,,,No
2024-01-14,Internal waters - Port area,Norway,Norway - NSIA,2024/000337,Less Serious,62°11.869' N,5°25.205' E,,23:32,0,0,,Not Investigated,Yes,,0,,No,,,Ship - Deck - Other,Normal service - Berthing,,,Unknown,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo,NORWAY - Other,NORWAY - Other,Contact - Shore object,,,No
2024-01-20,Internal waters - Port area,Slovenia,Slovenia - MID,2024/002343,Marine incident,45°33.896' N,13°43.449' E,,00:27,0,0,SLOVENIA - Koper,Not Investigated,Yes,Slovenia,0,,No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Berthing,0.000,0.000,In a traffic lane,Arrival,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,SPAIN - Tarragona,SLOVENIA - Koper,Contact - Floating object - Other,,,No
2024-01-13,Internal waters - Port area,Greece,Greece - HBMCI,2024/000450,Less Serious,34°55.777' N,24°48.318' E,,05:30,0,0,GREECE - Kalilimenes,Not Investigated,Yes,Greece - SouthWest Cretan,0,,No,No,No,Ship - Bow - Port - Above the waterline,Normal service - At anchor,0.000,0.000,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Container Ship,TURKEY - Tuzla,MALTA - Marsaxlokk,Damage / loss of equipment,,,No
2024-03-01,Territorial sea,Greece,Greece - HBMCI,2024/001274,Serious,37°57.358' N,23°34.231' E,No,16:00,0,0,,Not Investigated,Yes,Greece - Saronicos,0,Material damage - Affecting structural integrity of the ship,No,No,No,Ship - Stern,Normal service - In passage - Non-displacement mode,0.000,0.000,No routeing system,Mid-water,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Perama,GREECE - Poros Trizinias,Damage / loss of equipment,,,No
2024-03-16,High sea - Within EEZ,Ireland,Ireland - MCIB,2024/001495,Marine incident,53°43.7' N,6°16.66' W,,16:14,0,0,,Not Investigated,Yes,,0,,No,No,No,Engine department - Engine room,Unknown,0.000,0.000,Unknown,Unknown,No,,,Cargo ship - Solid Cargo - General Cargo,IRELAND - Drogheda; Drogheda,Unknown,Grounding/stranding - Power,,,No
2024-01-15,Internal waters - Port area,Italy,Italy - DIGIFEMA,2024/000571,Serious,42°57.476' N,13°53.363' E,,12:00,0,1,ITALY - San Benedetto del Tronto,Not Investigated,Yes,Italy - S. Benedetto del Tronto,0,,No,No,No,Ship - Unknown,Normal service - Cleaning/washing,0.000,0.000,Unknown,Unknown,No,,,Fishing vessel - Other,ITALY - San Benedetto del Tronto,ITALY - San Benedetto del Tronto,,Body movement under or with physical stress (generally leading to an internal injury) - Other,Accident,No
2024-01-31,Territorial sea,Cyprus,Cyprus - MAIC,2024/000457,Marine incident,63°19.01' N,19°16' E,,14:06,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Bow - Port - Above the waterline,Normal service - At anchor,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,LATVIA - Mersrags,SWEDEN - Husum,Damage / loss of equipment,,,No
2024-02-23,Territorial sea,Netherlands,Netherlands - DSB,2024/001884,Serious,59°0.8' N,9°48.8' E,,19:25,0,0,,Not Investigated,Yes,,0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.000,0.000,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,NORWAY - Brevik,Loss of control - Loss of propulsion power,,,n/a
2024-03-12,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/001229,Marine incident,49°58.5' N,0°3.58' W,No,00:38,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.000,0.000,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,FRANCE - Le Havre,UNITED KINGDOM - Sheerness,Loss of control - Loss of directional control,,,No
