Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2017-12-29,Territorial sea,Malta,Malta - MSIU,77/2018,Less Serious,1°15.73' N,103°54.43' E,No,14:03,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Over side,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Unknown,Unknown,Collision - With other ship,,,No
2017-12-29,Territorial sea,Malta,Malta - MSIU,77/2018,Less Serious,1°15.73' N,103°54.43' E,No,14:03,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Deck - Poop deck,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Unknown,SINGAPORE - Singapore,Collision - Ship not underway,,,No
2017-12-29,Territorial sea,Malta,Malta - MSIU,77/2018,Less Serious,1°15.73' N,103°54.43' E,No,14:03,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Over side,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Unknown,SINGAPORE - Singapore,Collision - Ship not underway,,,No
2017-12-29,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,12/2018,Less Serious,51°27.277' N,0°20.525' E,No,14:02,0,0,UNITED KINGDOM - Tilbury,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Forecastle,Normal service - In passage,0,0,Unknown,Arrival,No,,,Cargo ship - Solid Cargo - Container Ship,Unknown,UNITED KINGDOM - Tilbury,Loss of control - Loss of directional control,,,No
2017-12-17,Territorial sea,United Kingdom,United Kingdom - MAIB,4945/2017,Less Serious,24°2.02' N,119°58' E,No,18:00,0,0,,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Forecastle,Normal service - In passage - Displacement mode,0,0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,CHINA - Lianyungang,Flooding/Foundering - Flooding - Progressive,,,No
2018-01-13,High sea - Within EEZ,Italy,Italy - DIGIFEMA,327/2018,Less Serious,41°10.719' N,9°47.329' E,No,22:30,0,0,,Not Investigated,Yes,Italy - Livorno,,,,,,Accommodation - Galley spaces,Other,,,Unknown,Transit,,,,Passenger ship - Passenger and Ro-Ro cargo,ITALY - Olbia,ITALY - Livorno (Leghorn),,Body movement under or with physical stress (generally leading to an internal injury) - Lifting; carrying; standing up,Accident,
2018-01-11,Territorial sea,France,France - BEAmer,128/2018,Serious,49°30.55' N,0°47.78' W,No,06:32,0,0,,Not Investigated,Yes,France - SRR JOBOURG,,No damage,No,No,No,Ship - Other,Fishing - Fishing,0,0,No routeing system,Transit,No,,,Fishing vessel - Trawler - Stern,Unknown,Unknown,Loss of control - Loss of propulsion power,,,No
2017-12-28,Internal waters - Port area,Poland,Poland - PKBWM,1057/2018,Less Serious,54°32' N,18°31.05' E,Material damage,09:00,0,0,POLAND - Gdynia,Not Investigated,Yes,Poland,,No damage,No,No,No,,Normal service - Manoeuvring,0,0,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,POLAND - Gdynia,Contact - Shore object,,,No
2018-01-05,Internal waters - Channel; river,Germany,Germany - BSU,905/2018,Marine incident,53°53.432' N,9°8.335' E,No,22:25,0,0,None,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,SWEDEN - Malmo,GERMANY - Wilhelmshaven,Loss of control - Loss of propulsion power,,,No
2017-12-16,High sea - Within EEZ,United Kingdom,United Kingdom - MAIB,4869/2017,Marine incident,34°57.05' S,153°23.04' E,No,09:55,0,0,,Not Investigated,Yes,,,,,,,Engine department - Compressor room,Normal service - In passage,,,No routeing system,Mid-water,,,,Passenger ship - Only passenger - International,AUSTRALIA - Sydney,AUSTRALIA - Sydney,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
