Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Cargo and tank areas - Tanks - Cargo tank,Normal service - Unloading,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Ship - Deck - Freeboard deck,Normal service - Alongside,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Ship - Deck - Freeboard deck,Normal service - Unloading,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Ship - Over side,Normal service - Alongside,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Ship - Over side,Normal service - Unloading,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
2016-12-25,Territorial sea,United Kingdom,United Kingdom - MAIB,4305/2016,Less Serious,51°8.06' N,4°56' W,No,02:46,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Compressor room,Normal service - In passage,0,0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,LITHUANIA - Klaipeda,Loss of control - Loss of propulsion power,,,No
2017-01-02,Territorial sea,Estonia,Estonia - ESIB,4898/2017,Less Serious,58°54.504' N,23°20.955' E,No,00:25,0,0,None,Not Investigated,Yes,Estonia,,Material damage,No,No,No,Cargo and tank areas - Cofferdam/void space,Normal service - In passage,0,0,Recommended track,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo,ESTONIA - Heltermaa,ESTONIA - Rohukula,Grounding/stranding,,,Unknown
2016-12-29,Territorial sea,Italy,Italy - DIGIFEMA,2827/2017,Serious,39°53.636' N,8°17.186' E,No,19:00,0,1,None,Not Investigated,Yes,Italy - Oristano,,,,,,Ship - Deck - Poop deck,Fishing - Preparing/stowing fishing gear,,,Unknown,Transit,,,,Fishing vessel - Trawler - Stern,ITALY - Oristano,ITALY - Oristano,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of object (being carried; moved; handled; etc.),Accident,
2016-12-24,Territorial sea,Greece,Greece - HBMCI,167/2017,Less Serious,37°47.358' N,23°26.499' E,No,11:27,0,0,None,Not Investigated,Yes,Greece - Saronicos,,Material damage,No,No,No,Ship - Other,Normal service - In passage - Displacement mode,0,0,No routeing system,Mid-water,No,,,Passenger ship - Only passenger - Domestic - Class A,GREECE - Aegina,GREECE - Piraeus,Loss of control - Loss of propulsion power,,,No
2017-01-12,Territorial sea,Germany,Germany - BSU,3548/2017,Less Serious,53°51.735' N,7°33.104' E,No,07:50,0,0,None,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,,No damage,No,No,No,Ship - Other,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,BELGIUM - Antwerpen,GERMANY - Bremerhaven,Damage / loss of equipment,,,No
2017-01-11,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,204/2017,Marine incident,53°37.05' N,0°11.04' W,No,10:20,0,0,UNITED KINGDOM - Immingham,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Deck - Poop deck,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,UNITED KINGDOM - Immingham,UNITED KINGDOM - Immingham,Loss of control - Loss of containment,,,No
2016-12-26,Territorial sea,Germany,Germany - BSU,334/2017,Marine incident,53°55.328' N,7°41.591' E,No,16:56,0,0,None,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,,No damage,No,No,No,Ship - Unknown,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,Unknown,Loss of control - Loss of directional control,,,No
2017-01-10,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,161/2017,Less Serious,56°3.32' N,3°14' W,No,12:40,0,1,UNITED KINGDOM - Burntisland,Not Investigated,Yes,United Kingdom - Scotland,,,,,,Ship - Other,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Service ship - Tug (Towing/Pushing),UNITED KINGDOM - Burntisland,UNITED KINGDOM - Burntisland,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,
2016-12-25,Territorial sea,France,France - BEAmer,21/2017,Less Serious,48°13.15' N,5°49.46' W,No,20:10,0,0,None,Not Investigated,Yes,France - SRR CORSEN,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,Leaving or approaching TSS,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),MEXICO - Veracruz,Damage / loss of equipment,,,No
2016-12-24,Territorial sea,Spain,Spain - CIAIM,153/2017,Serious,35°51.08' N,5°44.05' W,No,00:30,0,0,None,Not Investigated,Yes,Spain - Atlántico - Andalucía,,No damage,No,No,No,Engine department - Engine room,Normal service - Repairing,0,0,Crossing TSS,Mid-water,No,,,Cargo ship - Liquid Cargo,Unknown,UNITED KINGDOM - Gibraltar,Loss of control - Loss of propulsion power,,,No
2017-01-04,Internal waters - Port area,Greece,Greece - HBMCI,253/2017,Less Serious,37°56.237' N,21°8.902' E,No,06:50,0,0,GREECE - Kyllini,Not Investigated,Yes,Greece - South Ionio,,Material damage,No,No,No,Ship - Gangway,Normal service - Anchoring,0,0,No routeing system,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Zakynthos,GREECE - Kyllini,Damage / loss of equipment,,,No
2017-01-04,Internal waters - Port area,Greece,Greece - HBMCI,253/2017,Less Serious,37°56.237' N,21°8.902' E,No,06:50,0,0,GREECE - Kyllini,Not Investigated,Yes,Greece - South Ionio,,Material damage,No,No,No,Ship - Gangway,Normal service - Berthing,0,0,No routeing system,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Zakynthos,GREECE - Kyllini,Damage / loss of equipment,,,No
2017-01-05,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,118/2017,Marine incident,53°27.016' N,3°1.228' W,No,05:30,0,0,,Not Investigated,Yes,United Kingdom - England,,,No,No,No,Ship - Over side,Normal service - Manoeuvring,0,0,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,UNITED KINGDOM - Glasgow,UNITED KINGDOM - Liverpool,Contact - Floating object - Other,,,No
2016-12-27,Internal waters - Channel; river,Germany,Germany - BSU,337/2017,Marine incident,54°20.627' N,9°58.091' E,No,12:55,0,0,None,Not Investigated,Yes,Germany - NOK / Strecke Breiholz - Kiel,,No damage,No,No,No,Ship - Unknown,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),PORTUGAL - Leixoes,Contact - Shore object,,,No
2017-01-04,High sea - Outside EEZ,Greece,Greece - HBMCI,164/2017,Less Serious,17°4.01' S,147°22.02' E,No,16:30,0,1,None,Not Investigated,Yes,,,,,,,Engine department - Engine room,Normal service - In passage - Non-displacement mode,,,No routeing system,Mid-water,,,,Cargo ship - Solid Cargo - Bulk Carrier,AUSTRALIA - Abbot Point,CHINA - Dagu,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2017-01-07,Internal waters - Port area,Greece,Greece - HBMCI,317/2017,Serious,40°45.589' N,24°34.665' E,No,10:30,0,1,GREECE - Prinos Terminal,Not Investigated,Yes,Greece - Thrakico,,,,,,,Normal service - Anchoring,,,No routeing system,Arrival,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Prinos Terminal,GREECE - Prinos Terminal,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2017-01-07,Internal waters - Port area,Greece,Greece - HBMCI,317/2017,Serious,40°45.589' N,24°34.665' E,No,10:30,0,1,GREECE - Prinos Terminal,Not Investigated,Yes,Greece - Thrakico,,,,,,,Normal service - Manoeuvring,,,No routeing system,Arrival,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Prinos Terminal,GREECE - Prinos Terminal,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2016-12-17,Internal waters - Archipelago fairway,Norway,Norway - NMD,69/2017,Less Serious,64°16.844' N,10°22.774' E,No,07:35,0,0,,Not Investigated,Yes,Norway - Sør-Trøndelag,,Material damage,No,No,No,Ship - Keel,Normal service - In passage - Transitional mode,0,0,No routeing system,Transit,No,,,Inland waterway vessel - Worksite craft,NORWAY - Other,NORWAY - Other,Grounding/stranding - Power,,,No
2017-01-11,Internal waters - Port area,Finland,Finland - SIA,590/2017,Serious,59°49.28' N,22°57.29' E,Material damage,19:55,0,0,FINLAND - Hanko (Hango),Not Investigated,Yes,Finland - Itäinen Suomenlahti,,Material damage,No,No,No,Ship - Bulbous,Normal service - Alongside,0,0,No anchoring area,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GERMANY - Rostock,GERMANY - Rostock,Damage / loss of equipment,,,No
2016-12-20,Internal waters - Port area,Greece,Greece - HBMCI,66/2017,Less Serious,38°18.002' N,25°55.553' E,No,22:40,0,0,GREECE - Mesta Hiou,Not Investigated,Yes,Greece - Central Aegean,,Material damage,No,No,No,Cargo and tank areas - Tanks - Ballast tank,Normal service - In passage - Non-displacement mode,0,0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GREECE - Mytilene,GREECE - Mesta Hiou,Grounding/stranding - Power,,,No
2016-12-18,Territorial sea,United Kingdom,United Kingdom - MAIB,4291/2016,Less Serious,51°7.243' N,1°20.667' E,No,16:30,0,1,,Not Investigated,Yes,United Kingdom - England,,,,,,Ship - Unknown,Normal service - Berthing,,,Pilotage area,Arrival,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,FRANCE - Dunkerque,UNITED KINGDOM - Dover,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2017-01-02,Internal waters - Port area,Germany,Germany - BSU,37/2017,Less Serious,53°32.45' N,9°53.25' E,No,20:05,0,0,GERMANY - Hamburg,Not Investigated,Yes,Germany - Elbe / Hafen,,No damage,No,No,No,Engine department - Steering gear room,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,POLAND - Gdynia,GERMANY - Hamburg,Loss of control - Loss of propulsion power,,,No
2017-01-11,High sea - Outside EEZ,United Kingdom,United Kingdom - MAIB,177/2017,Marine incident,25°12.03' N,153°33.01' E,No,00:30,0,0,,Not Investigated,Yes,,,,,,,Accommodation - Cabin space - crew,Normal service - In passage,,,No routeing system,Mid-water,,,,Passenger ship - Only passenger - International,AUSTRALIA - Sydney,AUSTRALIA - Other,,Body movement under or with physical stress (generally leading to an internal injury) - Other,Accident,
2017-01-10,Internal waters - Port area,Norway,Norway - NMD,1752/2017,Less Serious,68°41.44' N,15°25.28' E,No,18:20,0,0,,Not Investigated,Yes,Norway - Nordland,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Displacement mode,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Other,Unknown,Unknown,Contact - Shore object,,,No
2017-01-06,Internal waters - Channel; river,Germany,Germany - BSU,354/2017,Less Serious,34°57.344' S,57°22.73' W,No,11:00,0,0,ARGENTINA - Mar del Plata,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Other,Normal service - Manoeuvring,0,0,No routeing system,Arrival,No,,,Service ship - Dredger,Unknown,ARGENTINA - Buenos Aires,Grounding/stranding - Power,,,No
2017-01-09,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,487/2017,Less Serious,53°44' N,0°19' W,No,12:00,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - General Cargo,UNITED KINGDOM - Hull,UNITED KINGDOM - Hull,Collision - Ship not underway,,,No
2017-01-09,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,487/2017,Less Serious,53°44' N,0°19' W,No,12:00,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,,Normal service - Alongside,0,0,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Hull,Collision - With other ship,,,No
2016-12-27,Territorial sea,Spain,Spain - CIAIM,516/2018,Very serious,41°21.07' N,2°14.15' E,No,15:40,1,0,,Finished,Yes,Spain - Mediterráneo - Cataluña,,No damage,No,No,No,Bridge - Wheelhouse,Normal service - Maintenance,0,0,No routeing system,Mid-water,No,,MAIRETA IV,Fishing vessel - Trawler - Stern,SPAIN - Barcelona,SPAIN - Barcelona,Fire/Explosion - Explosion,,,No
2017-01-13,Territorial sea,Greece,Greece - HBMCI,1216/2017,Serious,39°48.05' N,19°53.03' E,No,10:00,0,0,None,Not Investigated,Yes,Greece - North Ionio,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Non-displacement mode,0,0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,ALBANIA - Durres,BULGARIA - Varna,Loss of control - Loss of propulsion power,,,No
2017-01-12,Internal waters - Port area,Greece,Greece - HBMCI,351/2017,Less Serious,35°25.133' N,26°55.479' E,No,14:45,0,0,GREECE - Kassos,Not Investigated,Yes,Greece - Karpathion Sea,,Material damage,No,No,No,Ship - Other,Normal service - Berthing,0,0,No routeing system,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Port Lakki,GREECE - Anafi,Contact - Shore object,,,No
2016-12-18,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,1151/2017,Less Serious,51°23.55' N,0°30.6' E,No,00:00,0,0,UNITED KINGDOM - Rochester,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Over side,Normal service - Berthing,0,0,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Rochester,Grounding/stranding - Drift,,,No
2017-01-11,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,160/2017,Less Serious,51°30.178' N,0°3.981' E,No,01:50,0,0,UNITED KINGDOM - London,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,,Unknown,0,0,No routeing system,Anchored or alongside,No,,,Service ship - Floating platform,UNITED KINGDOM - London,UNITED KINGDOM - London,Collision - With other ship,,,No
2017-01-11,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,160/2017,Less Serious,51°30.178' N,0°3.981' E,No,01:50,0,0,UNITED KINGDOM - London,Not Investigated,Yes,United Kingdom - England,,Material damage,No,No,No,Ship - Aloft,Normal service - Berthing,0,0,Pilotage area,Arrival,No,,,Service ship - Tug (Towing/Pushing),UNITED KINGDOM - Holehaven,UNITED KINGDOM - Rainham,Collision - Ship not underway,,,No
2017-01-07,Repair yard,Cyprus,Cyprus - MAIC,1070/2017,Serious,23°5' N,113°28' E,No,06:30,0,1,CHINA - Guangzhou,Not Investigated,Yes,,,,,,,Ship - Deck - Boat deck,Special service - Trials/drills/tests,,,Exercise area,Anchored or alongside,,,,Cargo ship - Solid Cargo - Container Ship,CHINA - Guangzhou,CHINA - Guangzhou,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,
2016-12-20,Territorial sea,Spain,Spain - CIAIM,482/2017,Serious,39°12' N,0°17' E,No,18:30,0,0,,Not Investigated,Yes,Spain - Mediterráneo - Valencia,0,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,SPAIN - Santa Cruz de Tenerife,SPAIN - Barcelona,Loss of control - Loss of propulsion power,,,No
2017-01-04,Territorial sea,Germany,Germany - BSU,185/2017,Less Serious,53°55.789' N,6°34.519' E,No,20:00,0,0,None,Not Investigated,Yes,Germany - Nordsee / Küstenmeer,,Material damage,No,No,No,Engine department - Other,Normal service - Manoeuvring,0,0,Inshore traffic zone,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,NETHERLANDS - Amsterdam,GERMANY - Cuxhaven,Damage / loss of equipment,,,No
2017-01-05,Territorial sea,Norway,Norway - NMD,1757/2017,Less Serious,64°58.23' N,10°55.75' E,No,21:00,0,0,,Not Investigated,Yes,Norway - Nord-Trøndelag,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Displacement mode,0,0,No routeing system,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo,Unknown,Unknown,Grounding/stranding - Power,,,No
2017-01-04,Internal waters - Port area,Portugal,Portugal - GAMA,385/2017,Less Serious,44°56.08' N,0°33' W,No,08:44,0,0,FRANCE - Bassens,Not Investigated,Yes,France,,No damage,No,No,No,Ship - Bulbous,Normal service - In passage - Transitional mode,0,0,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Bassens,BELGIUM - Antwerpen,Grounding/stranding - Drift,,,No
2017-01-11,High sea - Within EEZ,Malta,Malta - MSIU,816/2017,Less Serious,56°25' N,7°34' E,No,13:30,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Cargo and tank areas - Open deck cargo space,Normal service - In passage,0,0,No routeing system,Transit,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,SWEDEN - Goteborg,BELGIUM - Zeebrugge,Damage / loss of equipment,,,No
2017-01-11,High sea - Within EEZ,Malta,Malta - MSIU,816/2017,Less Serious,56°25' N,7°34' E,No,13:30,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Cargo and tank areas - Closed deck cargo space,Normal service - In passage,0,0,No routeing system,Transit,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,SWEDEN - Goteborg,BELGIUM - Zeebrugge,Damage / loss of equipment,,,No
2016-12-29,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,1153/2017,Less Serious,51°23.55' N,0°30.6' E,No,00:00,0,0,UNITED KINGDOM - Rochester,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Over side,Normal service - Berthing,0,0,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Rochester,Grounding/stranding - Drift,,,No
2016-12-26,Internal waters - Port area,Norway,Norway - NMD,742/2017,Less Serious,,,No,12:40,0,0,,Not Investigated,Yes,,,,,,,Ship - Deck - Freeboard deck,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Service ship - Offshore supply ship,Unknown,Unknown,,Body movement under or with physical stress (generally leading to an internal injury) - Lifting; carrying; standing up,Accident,
2016-12-30,Territorial sea,United Kingdom,United Kingdom - MAIB,52/2017,Marine incident,50°59.01' N,1°39' E,No,10:40,0,0,,Not Investigated,Yes,France,,,,,,Engine department - Other,Normal service - In passage - Displacement mode,,,Crossing TSS,,,,,Passenger ship - Passenger and Ro-Ro cargo - International,UNITED KINGDOM - Dover,FRANCE - Calais,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,
2017-01-05,Territorial sea,Norway,Norway - NMD,1759/2017,Less Serious,66°8.3' N,12°41.46' E,Material damage,07:15,0,0,,Not Investigated,Yes,Norway - Nordland,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Displacement mode,0,0,No routeing system,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo,Unknown,Unknown,Contact - Shore object,,,No
2016-12-25,Territorial sea,France,France - BEAmer,12/2017,Serious,49°39.23' N,0°23.12' W,No,03:10,0,0,None,Not Investigated,Yes,France - SRR JOBOURG,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,Pilotage area,Departure,No,,,Cargo ship - Liquid Cargo - Chemical tanker - Type 2,FRANCE - Le Havre,UNITED KINGDOM - Stanlow,Damage / loss of equipment,,,No
2017-01-05,Internal waters - Port area,Spain,Spain - CIAIM,1081/2017,Serious,36°7.09' N,5°25.01' W,No,15:00,0,0,SPAIN - Algeciras,Finished,Yes,Spain - Mediterráneo - Andalucía,,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0,0,Pilotage area,Arrival,No,9332987,MAERSK COLUMBUS,Cargo ship - Solid Cargo - Container Ship,UNITED STATES - US - Norfolk,TURKEY - Ambarli,Fire/Explosion - Fire,,,No
