zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_-1.5,2025,2,2025-S2,Stable,87.2,1.7,11.1,87.2,Stable,True
z_34.5_-10.5,2023,1,2023-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_34.5_-10.5,2023,2,2023-S2,Stable,98.7,0.2,1.1,98.7,Stable,True
z_34.5_-10.5,2024,1,2024-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_34.5_-10.5,2024,2,2024-S2,Stable,98.2,0.9,0.8,98.2,Stable,True
z_34.5_-10.5,2025,1,2025-S1,Stable,95.9,2.1,2.0,95.9,Stable,True
z_34.5_-10.5,2025,2,2025-S2,Stable,98.9,0.2,0.9,98.9,Stable,True
z_34.5_-4.5,2023,1,2023-S1,Stable,64.0,29.9,6.1,64.0,Stable,True
z_34.5_-4.5,2023,2,2023-S2,Diminution,78.2,5.4,78.2,16.4,Stable,False
z_34.5_-4.5,2024,1,2024-S1,Stable,77.4,17.9,4.7,77.4,Stable,True
z_34.5_-4.5,2024,2,2024-S2,Diminution,80.5,4.6,80.5,14.9,Stable,False
z_34.5_-4.5,2025,1,2025-S1,Stable,70.0,25.7,4.3,70.0,Stable,True
z_34.5_-4.5,2025,2,2025-S2,Diminution,80.6,5.1,80.6,14.3,Stable,False
z_34.5_-6.0,2023,1,2023-S1,Diminution,67.0,16.2,67.0,16.8,Stable,False
z_34.5_-6.0,2023,2,2023-S2,Diminution,74.0,11.1,74.0,14.9,Diminution,True
z_34.5_-6.0,2024,1,2024-S1,Diminution,79.6,6.7,79.6,13.7,Augmentation,False
z_34.5_-6.0,2024,2,2024-S2,Diminution,56.6,21.4,56.6,22.0,Stable,False
z_34.5_-6.0,2025,1,2025-S1,Diminution,45.1,33.2,45.1,21.7,Stable,False
z_34.5_-6.0,2025,2,2025-S2,Diminution,51.9,28.0,51.9,20.1,Diminution,True
z_34.5_-7.5,2023,1,2023-S1,Stable,83.7,12.3,3.9,83.7,Stable,True
z_34.5_-7.5,2023,2,2023-S2,Stable,92.8,5.2,2.0,92.8,Stable,True
