economie,annee,type_navire,nombre_navires
Albanie,2014,Vraquiers,1
Albanie,2014,Navires de charge classique,51
Albanie,2014,Porte-conteneurs,0
Albanie,2014,Autres navires,7
Albanie,2015,Flotte totale,58
Albanie,2015,Petroliers,0
Albanie,2015,Vraquiers,1
Albanie,2015,Navires de charge classique,50
Albanie,2015,Porte-conteneurs,0
Albanie,2015,Autres navires,7
Albanie,2016,Flotte totale,58
Albanie,2016,Petroliers,0
Albanie,2016,Vraquiers,1
Albanie,2016,Navires de charge classique,50
Albanie,2016,Porte-conteneurs,0
Albanie,2016,Autres navires,7
Albanie,2017,Flotte totale,61
Albanie,2017,Petroliers,0
Albanie,2017,Vraquiers,1
Albanie,2017,Navires de charge classique,49
Albanie,2017,Porte-conteneurs,0
Albanie,2017,Autres navires,11
Albanie,2018,Flotte totale,67
Albanie,2018,Petroliers,1
Albanie,2018,Vraquiers,1
Albanie,2018,Navires de charge classique,50
Albanie,2018,Porte-conteneurs,0
Albanie,2018,Autres navires,15
Albanie,2019,Flotte totale,67
Albanie,2019,Petroliers,1
Albanie,2019,Vraquiers,0
Albanie,2019,Navires de charge classique,47
Albanie,2019,Porte-conteneurs,0
Albanie,2019,Autres navires,19
Albanie,2020,Flotte totale,68
Albanie,2020,Petroliers,1
Albanie,2020,Vraquiers,0
Albanie,2020,Navires de charge classique,48
Albanie,2020,Porte-conteneurs,0
Albanie,2020,Autres navires,19
Albanie,2021,Flotte totale,70
Albanie,2021,Petroliers,1
Albanie,2021,Vraquiers,0
Albanie,2021,Navires de charge classique,47
Albanie,2021,Porte-conteneurs,0
Albanie,2021,Autres navires,22
Albanie,2022,Flotte totale,69
Albanie,2022,Petroliers,1
Albanie,2022,Vraquiers,0
Albanie,2022,Navires de charge classique,47
Albanie,2022,Porte-conteneurs,0
Albanie,2022,Autres navires,21
Albanie,2023,Flotte totale,70
Albanie,2023,Petroliers,1
Albanie,2023,Vraquiers,0
Albanie,2023,Navires de charge classique,46
Albanie,2023,Porte-conteneurs,0
Albanie,2023,Autres navires,23
Albanie,2024,Flotte totale,58
Albanie,2024,Petroliers,1
Albanie,2024,Vraquiers,0
Albanie,2024,Navires de charge classique,34
Albanie,2024,Porte-conteneurs,0
Albanie,2024,Autres navires,23
Albanie,2025,Flotte totale,58
Albanie,2025,Petroliers,1
Albanie,2025,Vraquiers,0
Albanie,2025,Navires de charge classique,33
Albanie,2025,Porte-conteneurs,0
Albanie,2025,Autres navires,24
Albanie,2026,Flotte totale,59
Albanie,2026,Petroliers,1
Albanie,2026,Vraquiers,0
Albanie,2026,Navires de charge classique,33
Albanie,2026,Porte-conteneurs,0
Albanie,2026,Autres navires,25
Algerie,2011,Flotte totale,104
Algerie,2011,Petroliers,9
Algerie,2011,Vraquiers,6
Algerie,2011,Navires de charge classique,12
Algerie,2011,Porte-conteneurs,0
Algerie,2011,Autres navires,77
Algerie,2012,Flotte totale,111
Algerie,2012,Petroliers,8
Algerie,2012,Vraquiers,6
Algerie,2012,Navires de charge classique,12
Algerie,2012,Porte-conteneurs,0
Algerie,2012,Autres navires,85
Algerie,2013,Flotte totale,112
Algerie,2013,Petroliers,8
Algerie,2013,Vraquiers,4
Algerie,2013,Navires de charge classique,12
Algerie,2013,Porte-conteneurs,0
Algerie,2013,Autres navires,88
Algerie,2014,Flotte totale,111
Algerie,2014,Petroliers,8
Algerie,2014,Vraquiers,4
Algerie,2014,Navires de charge classique,12
Algerie,2014,Porte-conteneurs,0
Algerie,2014,Autres navires,87
Algerie,2015,Flotte totale,116
