zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_30.0_-10.5,4,2025,4,Stable,68.4,31.0,0.6,68.4,Stable,True
z_30.0_-10.5,5,2025,5,Stable,68.8,30.5,0.7,68.8,Stable,True
z_30.0_-10.5,9,2025,9,Stable,64.2,35.2,0.7,64.2,Stable,True
z_30.0_-13.5,2,2023,2,Stable,64.3,30.4,5.3,64.3,Stable,True
z_30.0_-13.5,3,2023,3,Stable,58.9,34.6,6.5,58.9,Stable,True
z_30.0_-13.5,6,2023,6,Stable,60.1,35.6,4.3,60.1,Stable,True
z_30.0_-13.5,2,2024,2,Stable,64.3,30.4,5.3,64.3,Stable,True
z_30.0_-13.5,3,2024,3,Stable,64.1,30.2,5.6,64.1,Stable,True
z_30.0_-13.5,6,2024,6,Stable,60.1,35.6,4.3,60.1,Stable,True
z_30.0_-13.5,2,2025,2,Stable,60.1,34.7,5.2,60.1,Stable,True
z_30.0_-13.5,3,2025,3,Stable,63.6,29.7,6.7,63.6,Stable,True
z_30.0_-13.5,6,2025,6,Stable,60.1,35.6,4.3,60.1,Stable,True
z_30.0_-15.0,2,2023,2,Stable,58.7,37.1,4.3,58.7,Diminution,False
z_30.0_-15.0,5,2023,5,Stable,64.6,29.2,6.1,64.6,Stable,True
z_30.0_-15.0,2,2024,2,Stable,63.5,32.5,4.1,63.5,Diminution,False
z_30.0_-15.0,5,2024,5,Stable,64.6,29.2,6.1,64.6,Stable,True
z_30.0_-15.0,2,2025,2,Stable,65.4,29.7,4.9,65.4,Diminution,False
z_30.0_-15.0,5,2025,5,Stable,64.6,29.4,6.0,64.6,Stable,True
z_30.0_28.5,1,2023,1,Stable,61.9,34.5,3.6,61.9,Stable,True
z_30.0_28.5,2,2023,2,Stable,65.6,30.6,3.9,65.6,Stable,True
z_30.0_28.5,3,2023,3,Stable,65.8,29.4,4.8,65.8,Diminution,False
z_30.0_28.5,4,2023,4,Stable,66.0,29.5,4.4,66.0,Stable,True
z_30.0_28.5,5,2023,5,Stable,64.5,31.9,3.6,64.5,Stable,True
z_30.0_28.5,6,2023,6,Stable,56.4,39.5,4.1,56.4,Diminution,False
z_30.0_28.5,8,2023,8,Stable,62.5,34.7,2.8,62.5,Stable,True
z_30.0_28.5,10,2023,10,Stable,65.0,32.2,2.8,65.0,Diminution,False
z_30.0_28.5,11,2023,11,Stable,62.2,33.1,4.7,62.2,Stable,True
z_30.0_28.5,12,2023,12,Stable,67.1,29.4,3.5,67.1,Diminution,False
z_30.0_28.5,1,2024,1,Stable,66.4,30.0,3.6,66.4,Stable,True
z_30.0_28.5,2,2024,2,Stable,66.0,30.0,4.0,66.0,Stable,True
z_30.0_28.5,3,2024,3,Stable,65.8,29.4,4.8,65.8,Diminution,False
z_30.0_28.5,4,2024,4,Stable,66.0,29.5,4.4,66.0,Stable,True
z_30.0_28.5,5,2024,5,Stable,52.5,43.7,3.8,52.5,Diminution,False
z_30.0_28.5,6,2024,6,Stable,61.3,35.4,3.3,61.3,Diminution,False
z_30.0_28.5,8,2024,8,Stable,62.8,34.5,2.7,62.8,Stable,True
z_30.0_28.5,10,2024,10,Stable,65.0,32.2,2.8,65.0,Diminution,False
z_30.0_28.5,11,2024,11,Stable,65.3,31.4,3.2,65.3,Stable,True
z_30.0_28.5,12,2024,12,Stable,67.1,29.4,3.5,67.1,Diminution,False
z_30.0_28.5,1,2025,1,Stable,67.3,29.0,3.7,67.3,Stable,True
z_30.0_28.5,2,2025,2,Stable,66.0,30.0,4.0,66.0,Stable,True
z_30.0_28.5,3,2025,3,Stable,66.1,29.2,4.7,66.1,Diminution,False
z_30.0_28.5,4,2025,4,Stable,65.7,30.0,4.4,65.7,Stable,True
z_30.0_28.5,5,2025,5,Stable,64.8,31.5,3.7,64.8,Diminution,False
z_30.0_28.5,6,2025,6,Stable,61.3,35.4,3.3,61.3,Diminution,False
z_30.0_28.5,8,2025,8,Stable,62.6,34.4,3.0,62.6,Stable,True
z_30.0_28.5,10,2025,10,Stable,65.0,32.2,2.8,65.0,Diminution,False
z_30.0_28.5,11,2025,11,Stable,65.7,31.2,3.0,65.7,Stable,True
z_30.0_28.5,12,2025,12,Stable,66.2,30.3,3.5,66.2,Diminution,False
z_30.0_30.0,2,2023,2,Stable,65.4,30.1,4.4,65.4,Stable,True
z_30.0_30.0,9,2023,9,Stable,64.8,31.6,3.7,64.8,Stable,True
z_30.0_30.0,2,2024,2,Stable,65.4,30.1,4.4,65.4,Stable,True
z_30.0_30.0,9,2024,9,Stable,65.5,30.6,3.9,65.5,Stable,True
z_30.0_30.0,2,2025,2,Stable,65.4,30.1,4.4,65.4,Stable,True
z_30.0_30.0,9,2025,9,Stable,65.7,30.8,3.5,65.7,Stable,True
z_30.0_31.5,1,2023,1,Stable,59.1,26.0,14.9,59.1,Stable,True
z_30.0_31.5,2,2023,2,Stable,53.7,31.8,14.5,53.7,Stable,True
