zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_25.5,2025,Stable,42.8,27.7,29.5,42.8,Diminution,False
z_34.5_27.0,2023,Augmentation,37.6,37.6,21.3,41.1,Diminution,False
z_34.5_27.0,2024,Stable,42.2,31.9,25.9,42.2,Diminution,False
z_34.5_27.0,2025,Stable,41.3,29.1,29.6,41.3,Diminution,False
z_34.5_31.5,2023,Augmentation,46.0,46.0,19.2,34.8,Augmentation,True
z_34.5_31.5,2024,Augmentation,61.8,61.8,12.3,25.9,Diminution,False
z_34.5_31.5,2025,Augmentation,45.1,45.1,23.6,31.3,Diminution,False
z_34.5_33.0,2023,Augmentation,69.6,69.6,16.6,13.9,Augmentation,True
z_34.5_33.0,2024,Augmentation,67.4,67.4,17.7,14.9,Stable,False
z_34.5_33.0,2025,Augmentation,66.9,66.9,17.3,15.7,Stable,False
z_36.0_-1.5,2023,Augmentation,40.6,40.6,25.3,34.1,Diminution,False
z_36.0_-1.5,2024,Stable,46.8,23.9,29.3,46.8,Diminution,False
z_36.0_-1.5,2025,Stable,40.2,31.1,28.7,40.2,Diminution,False
z_36.0_-10.5,2023,Augmentation,48.1,48.1,17.1,34.7,Augmentation,True
z_36.0_-10.5,2024,Augmentation,43.1,43.1,16.0,40.9,Augmentation,True
z_36.0_-10.5,2025,Augmentation,54.7,54.7,16.4,28.9,Augmentation,True
z_36.0_-12.0,2023,Diminution,83.8,2.1,83.8,14.1,Stable,False
z_36.0_-12.0,2024,Diminution,66.6,10.4,66.6,23.0,Diminution,True
z_36.0_-12.0,2025,Diminution,81.0,2.6,81.0,16.4,Diminution,True
z_36.0_-3.0,2023,Augmentation,71.9,71.9,7.3,20.8,Augmentation,True
z_36.0_-3.0,2024,Augmentation,70.0,70.0,11.3,18.6,Stable,False
z_36.0_-3.0,2025,Augmentation,61.6,61.6,10.8,27.6,Augmentation,True
z_36.0_-4.5,2023,Augmentation,46.4,46.4,17.8,35.8,Augmentation,True
z_36.0_-4.5,2024,Augmentation,58.9,58.9,13.7,27.4,Stable,False
z_36.0_-4.5,2025,Augmentation,46.0,46.0,18.2,35.7,Diminution,False
z_36.0_-6.0,2023,Augmentation,39.8,39.8,12.4,47.8,Diminution,False
z_36.0_-6.0,2024,Stable,53.4,33.4,13.2,53.4,Diminution,False
z_36.0_-6.0,2025,Stable,46.7,32.8,20.5,46.7,Diminution,False
z_36.0_-7.5,2023,Augmentation,62.1,62.1,9.6,28.3,Augmentation,True
z_36.0_-7.5,2024,Augmentation,72.8,72.8,7.9,19.3,Augmentation,True
z_36.0_-7.5,2025,Augmentation,64.7,64.7,10.8,24.5,Augmentation,True
z_36.0_-9.0,2023,Augmentation,49.2,49.2,19.2,31.6,Augmentation,True
z_36.0_-9.0,2024,Augmentation,47.4,47.4,18.7,33.9,Augmentation,True
z_36.0_-9.0,2025,Augmentation,54.5,54.5,13.8,31.8,Diminution,False
z_36.0_0.0,2023,Stable,48.7,20.9,30.4,48.7,Diminution,False
z_36.0_0.0,2024,Diminution,36.2,23.4,36.2,40.4,Stable,False
z_36.0_0.0,2025,Stable,52.8,18.0,29.2,52.8,Diminution,False
z_36.0_10.5,2023,Augmentation,51.8,51.8,18.1,30.1,Stable,False
z_36.0_10.5,2024,Augmentation,42.6,42.6,18.2,39.1,Diminution,False
z_36.0_10.5,2025,Augmentation,44.1,44.1,17.9,38.0,Stable,False
z_36.0_12.0,2023,Augmentation,38.8,38.8,20.7,40.5,Stable,False
z_36.0_12.0,2024,Augmentation,47.1,47.1,18.3,34.7,Augmentation,True
z_36.0_12.0,2025,Augmentation,62.5,62.5,11.8,25.6,Stable,False
z_36.0_13.5,2023,Stable,48.2,35.1,16.6,48.2,Stable,True
z_36.0_13.5,2024,Augmentation,41.9,41.9,17.1,41.1,Augmentation,True
z_36.0_13.5,2025,Augmentation,48.6,48.6,12.8,38.6,Diminution,False
z_36.0_15.0,2023,Augmentation,48.5,48.5,17.9,33.6,Diminution,False
z_36.0_15.0,2024,Augmentation,44.4,44.4,22.8,32.9,Augmentation,True
z_36.0_15.0,2025,Augmentation,55.2,55.2,14.7,30.1,Augmentation,True
z_36.0_16.5,2023,Diminution,42.2,23.0,42.2,34.8,Stable,False
z_36.0_16.5,2024,Diminution,32.5,31.6,32.5,35.8,Stable,False
z_36.0_16.5,2025,Diminution,37.3,16.7,37.3,46.0,Stable,False
z_36.0_18.0,2023,Stable,42.6,28.5,28.9,42.6,Stable,True
z_36.0_18.0,2024,Augmentation,39.6,39.6,25.1,35.3,Diminution,False
z_36.0_18.0,2025,Augmentation,35.5,35.5,29.3,35.2,Diminution,False
z_36.0_19.5,2023,Diminution,45.7,12.5,45.7,41.8,Diminution,True
z_36.0_19.5,2024,Diminution,44.0,19.6,44.0,36.3,Diminution,True
z_36.0_19.5,2025,Diminution,47.2,9.5,47.2,43.4,Stable,False
z_36.0_21.0,2023,Augmentation,40.4,40.4,26.5,33.2,Diminution,False
z_36.0_21.0,2024,Augmentation,45.2,45.2,25.1,29.6,Stable,False
z_36.0_21.0,2025,Augmentation,49.6,49.6,22.2,28.2,Diminution,False
z_36.0_22.5,2023,Augmentation,44.8,44.8,28.7,26.6,Stable,False
z_36.0_22.5,2024,Augmentation,51.7,51.7,20.8,27.5,Stable,False
z_36.0_22.5,2025,Augmentation,55.1,55.1,15.5,29.4,Diminution,False
z_36.0_24.0,2023,Augmentation,58.1,58.1,19.9,22.0,Stable,False
z_36.0_24.0,2024,Augmentation,67.6,67.6,15.2,17.2,Augmentation,True
z_36.0_24.0,2025,Augmentation,72.4,72.4,12.6,15.0,Stable,False
z_36.0_25.5,2023,Augmentation,53.8,53.8,17.6,28.7,Augmentation,True
z_36.0_25.5,2024,Augmentation,43.3,43.3,26.6,30.0,Stable,False
z_36.0_25.5,2025,Augmentation,45.1,45.1,24.7,30.2,Stable,False
z_36.0_27.0,2023,Augmentation,37.2,37.2,20.3,42.6,Diminution,False
z_36.0_27.0,2024,Augmentation,41.3,41.3,19.9,38.9,Stable,False
z_36.0_27.0,2025,Augmentation,39.2,39.2,18.5,42.2,Stable,False
z_36.0_30.0,2023,Stable,47.0,21.8,31.2,47.0,Diminution,False
z_36.0_30.0,2024,Diminution,34.6,26.1,34.6,39.4,Diminution,True
z_36.0_30.0,2025,Diminution,40.0,17.9,40.0,42.1,Stable,False
z_36.0_34.5,2023,Augmentation,57.5,57.5,16.2,26.3,Stable,False
z_36.0_34.5,2024,Augmentation,33.4,33.4,31.5,35.1,Stable,False
z_36.0_34.5,2025,Stable,45.2,33.0,21.8,45.2,Diminution,False
z_36.0_36.0,2023,Diminution,58.6,6.3,58.6,35.0,Diminution,True
z_36.0_36.0,2024,Diminution,58.8,5.1,58.8,36.1,Diminution,True
z_36.0_36.0,2025,Diminution,58.8,5.1,58.8,36.1,Stable,False
z_36.0_4.5,2023,Stable,49.1,16.4,34.4,49.1,Diminution,False
z_36.0_4.5,2024,Stable,40.8,27.1,32.0,40.8,Stable,True
z_36.0_4.5,2025,Diminution,42.4,18.8,42.4,38.9,Diminution,True
z_36.0_9.0,2023,Stable,47.0,22.9,30.1,47.0,Augmentation,False
z_36.0_9.0,2024,Diminution,31.7,29.9,31.7,38.4,Stable,False
z_36.0_9.0,2025,Stable,50.3,22.0,27.7,50.3,Diminution,False
z_37.5_-1.5,2023,Augmentation,54.8,54.8,20.3,24.9,Augmentation,True
z_37.5_-1.5,2024,Augmentation,61.9,61.9,19.1,19.0,Augmentation,True
z_37.5_-1.5,2025,Augmentation,46.2,46.2,19.1,34.7,Augmentation,True
z_37.5_-10.5,2023,Augmentation,68.0,68.0,12.1,19.8,Augmentation,True
z_37.5_-10.5,2024,Augmentation,74.6,74.6,9.1,16.3,Augmentation,True
z_37.5_-10.5,2025,Augmentation,72.6,72.6,9.6,17.8,Augmentation,True
z_37.5_-13.5,2023,Diminution,63.4,9.3,63.4,27.3,Diminution,True
z_37.5_-13.5,2024,Diminution,63.4,9.3,63.4,27.3,Stable,False
z_37.5_-13.5,2025,Diminution,53.2,15.5,53.2,31.2,Diminution,True
