zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_30.0_28.5,2025,3,2025-T3,Diminution,59.0,4.1,59.0,36.9,Diminution,True
z_30.0_28.5,2025,4,2025-T4,Diminution,74.5,13.1,74.5,12.4,Diminution,True
z_30.0_30.0,2023,1,2023-T1,Diminution,58.2,17.3,58.2,24.5,Diminution,True
z_30.0_30.0,2023,3,2023-T3,Diminution,83.1,6.4,83.1,10.5,Diminution,True
z_30.0_30.0,2024,1,2024-T1,Diminution,76.8,6.5,76.8,16.8,Diminution,True
z_30.0_30.0,2024,3,2024-T3,Diminution,76.8,3.1,76.8,20.1,Diminution,True
z_30.0_30.0,2025,1,2025-T1,Diminution,76.8,6.5,76.8,16.8,Diminution,True
z_30.0_30.0,2025,3,2025-T3,Diminution,74.2,3.5,74.2,22.4,Diminution,True
z_30.0_31.5,2023,1,2023-T1,Stable,57.1,25.0,17.9,57.1,Stable,True
z_30.0_31.5,2023,2,2023-T2,Stable,57.9,25.9,16.2,57.9,Augmentation,False
z_30.0_31.5,2023,3,2023-T3,Stable,47.7,36.5,15.8,47.7,Stable,True
z_30.0_31.5,2023,4,2023-T4,Augmentation,36.8,36.8,30.3,32.9,Diminution,False
z_30.0_31.5,2024,1,2024-T1,Stable,56.5,26.0,17.5,56.5,Diminution,False
z_30.0_31.5,2024,2,2024-T2,Stable,53.7,29.1,17.3,53.7,Diminution,False
z_30.0_31.5,2024,3,2024-T3,Stable,49.2,30.2,20.6,49.2,Augmentation,False
z_30.0_31.5,2024,4,2024-T4,Augmentation,39.0,39.0,32.8,28.2,Diminution,False
z_30.0_31.5,2025,1,2025-T1,Stable,45.0,34.1,20.9,45.0,Diminution,False
z_30.0_31.5,2025,2,2025-T2,Stable,51.6,26.6,21.8,51.6,Stable,True
z_30.0_31.5,2025,3,2025-T3,Stable,50.4,27.3,22.3,50.4,Diminution,False
z_30.0_31.5,2025,4,2025-T4,Diminution,62.0,20.3,62.0,17.7,Diminution,True
z_31.5_-15.0,2023,1,2023-T1,Diminution,91.0,1.2,91.0,7.8,Diminution,True
z_31.5_-15.0,2023,4,2023-T4,Diminution,76.5,2.1,76.5,21.4,Diminution,True
z_31.5_-15.0,2024,1,2024-T1,Diminution,91.0,1.2,91.0,7.8,Diminution,True
z_31.5_-15.0,2024,4,2024-T4,Diminution,75.4,2.9,75.4,21.6,Diminution,True
z_31.5_-15.0,2025,1,2025-T1,Diminution,79.8,2.1,79.8,18.1,Diminution,True
z_31.5_-15.0,2025,4,2025-T4,Diminution,62.0,6.4,62.0,31.7,Diminution,True
z_31.5_-18.0,2023,1,2023-T1,Diminution,45.2,11.9,45.2,42.9,Diminution,True
z_31.5_-18.0,2023,2,2023-T2,Diminution,49.0,22.9,49.0,28.1,Diminution,True
z_31.5_-18.0,2023,3,2023-T3,Diminution,64.8,5.3,64.8,29.9,Stable,False
z_31.5_-18.0,2023,4,2023-T4,Diminution,45.1,22.2,45.1,32.7,Stable,False
z_31.5_-18.0,2024,1,2024-T1,Stable,40.7,21.9,37.4,40.7,Diminution,False
z_31.5_-18.0,2024,2,2024-T2,Diminution,46.1,11.9,46.1,42.0,Diminution,True
z_31.5_-18.0,2024,3,2024-T3,Diminution,52.2,8.8,52.2,39.0,Diminution,True
z_31.5_-18.0,2024,4,2024-T4,Diminution,57.4,11.5,57.4,31.1,Diminution,True
z_31.5_-18.0,2025,1,2025-T1,Diminution,60.2,12.5,60.2,27.3,Diminution,True
z_31.5_-18.0,2025,2,2025-T2,Diminution,63.1,12.1,63.1,24.8,Diminution,True
z_31.5_-18.0,2025,3,2025-T3,Diminution,58.0,8.6,58.0,33.4,Diminution,True
z_31.5_-18.0,2025,4,2025-T4,Diminution,44.6,21.8,44.6,33.5,Diminution,True
z_31.5_31.5,2023,1,2023-T1,Stable,46.0,13.4,40.5,46.0,Diminution,False
z_31.5_31.5,2024,1,2024-T1,Stable,52.0,10.9,37.1,52.0,Diminution,False
z_31.5_31.5,2025,1,2025-T1,Stable,53.7,12.4,33.9,53.7,Diminution,False
z_33.0_-13.5,2023,2,2023-T2,Diminution,70.9,2.9,70.9,26.3,Diminution,True
z_33.0_-13.5,2023,4,2023-T4,Diminution,81.1,5.4,81.1,13.5,Diminution,True
z_33.0_-13.5,2024,2,2024-T2,Diminution,57.7,6.1,57.7,36.2,Diminution,True
z_33.0_-13.5,2024,4,2024-T4,Diminution,75.0,2.3,75.0,22.7,Diminution,True
z_33.0_-13.5,2025,2,2025-T2,Diminution,86.7,1.9,86.7,11.5,Diminution,True
z_33.0_-13.5,2025,4,2025-T4,Diminution,86.4,2.6,86.4,11.0,Diminution,True
z_33.0_-9.0,2023,1,2023-T1,Diminution,47.1,11.4,47.1,41.5,Diminution,True
z_33.0_-9.0,2023,2,2023-T2,Diminution,47.1,22.3,47.1,30.6,Diminution,True
z_33.0_-9.0,2023,3,2023-T3,Diminution,68.8,5.9,68.8,25.3,Diminution,True
