zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_33.0_-9.0,5,2024,5,Stable,97.2,0.8,2.0,97.2,Stable,True
z_33.0_-9.0,7,2024,7,Stable,90.7,3.7,5.7,90.7,Stable,True
z_33.0_-9.0,10,2024,10,Stable,92.8,2.2,5.0,92.8,Stable,True
z_33.0_-9.0,11,2024,11,Stable,93.5,2.7,3.9,93.5,Stable,True
z_33.0_-9.0,12,2024,12,Diminution,90.8,1.0,90.8,8.3,Diminution,True
z_33.0_-9.0,1,2025,1,Stable,92.6,2.2,5.2,92.6,Stable,True
z_33.0_-9.0,2,2025,2,Diminution,89.8,1.3,89.8,8.8,Diminution,True
z_33.0_-9.0,3,2025,3,Stable,93.4,1.7,4.9,93.4,Stable,True
z_33.0_-9.0,4,2025,4,Stable,93.2,2.5,4.3,93.2,Stable,True
z_33.0_-9.0,5,2025,5,Stable,97.2,0.8,2.0,97.2,Stable,True
z_33.0_-9.0,7,2025,7,Stable,93.3,1.9,4.9,93.3,Stable,True
z_33.0_-9.0,10,2025,10,Stable,77.2,17.0,5.8,77.2,Stable,True
z_33.0_-9.0,11,2025,11,Stable,92.1,3.9,4.1,92.1,Stable,True
z_33.0_-9.0,12,2025,12,Diminution,90.7,1.0,90.7,8.3,Diminution,True
z_33.0_10.5,1,2023,1,Stable,96.9,0.6,2.6,96.9,Stable,True
z_33.0_10.5,1,2024,1,Stable,96.9,0.6,2.6,96.9,Stable,True
z_33.0_10.5,1,2025,1,Stable,96.9,0.6,2.6,96.9,Stable,True
z_33.0_18.0,7,2023,7,Stable,97.1,0.7,2.2,97.1,Stable,True
z_33.0_18.0,7,2024,7,Stable,97.1,0.7,2.2,97.1,Stable,True
z_33.0_18.0,7,2025,7,Stable,97.1,0.7,2.2,97.1,Stable,True
z_33.0_25.5,5,2023,5,Stable,97.3,0.6,2.1,97.3,Stable,True
z_33.0_25.5,5,2024,5,Stable,97.3,0.6,2.1,97.3,Stable,True
z_33.0_25.5,5,2025,5,Stable,96.0,1.0,3.0,96.0,Stable,True
z_34.5_-1.5,1,2023,1,Stable,96.9,0.6,2.5,96.9,Stable,True
z_34.5_-1.5,3,2023,3,Stable,97.0,0.6,2.4,97.0,Stable,True
z_34.5_-1.5,5,2023,5,Stable,97.1,0.6,2.2,97.1,Stable,True
z_34.5_-1.5,6,2023,6,Diminution,90.7,0.2,90.7,9.1,Stable,False
z_34.5_-1.5,7,2023,7,Stable,90.3,6.5,3.2,90.3,Stable,True
z_34.5_-1.5,9,2023,9,Stable,89.7,6.5,3.7,89.7,Stable,True
z_34.5_-1.5,1,2024,1,Stable,96.9,0.6,2.5,96.9,Stable,True
z_34.5_-1.5,3,2024,3,Stable,97.0,0.6,2.4,97.0,Stable,True
z_34.5_-1.5,5,2024,5,Stable,97.1,0.6,2.2,97.1,Stable,True
z_34.5_-1.5,6,2024,6,Diminution,90.1,2.4,90.1,7.6,Diminution,True
z_34.5_-1.5,7,2024,7,Stable,97.1,0.7,2.2,97.1,Stable,True
z_34.5_-1.5,9,2024,9,Stable,97.2,0.6,2.2,97.2,Stable,True
z_34.5_-1.5,1,2025,1,Stable,96.9,0.6,2.5,96.9,Stable,True
z_34.5_-1.5,3,2025,3,Stable,97.0,0.6,2.4,97.0,Stable,True
z_34.5_-1.5,5,2025,5,Stable,97.1,0.6,2.2,97.1,Stable,True
z_34.5_-1.5,6,2025,6,Diminution,91.2,1.5,91.2,7.3,Diminution,True
z_34.5_-1.5,7,2025,7,Stable,97.1,0.7,2.2,97.1,Stable,True
