seuil_ecart,seuil_pct,granularite,classe,accuracy
1.0,20.0,semestriel,Diminution,52.8
1.0,20.0,semestriel,Stable,29.9
1.0,20.0,semestriel,Augmentation,61.4
1.0,20.0,semestriel,Global,48.7
1.0,20.0,trimestriel,Diminution,56.1
1.0,20.0,trimestriel,Stable,38.7
1.0,20.0,trimestriel,Augmentation,56.6
1.0,20.0,trimestriel,Global,52.5
1.0,20.0,mensuel,Diminution,67.1
1.0,20.0,mensuel,Stable,36.9
1.0,20.0,mensuel,Augmentation,52.3
1.0,20.0,mensuel,Global,61.3
1.5,5.0,annuel,Diminution,74.2
1.5,5.0,annuel,Stable,46.3
1.5,5.0,annuel,Augmentation,54.5
1.5,5.0,annuel,Global,55.7
1.5,5.0,semestriel,Diminution,70.7
1.5,5.0,semestriel,Stable,55.1
1.5,5.0,semestriel,Augmentation,55.2
1.5,5.0,semestriel,Global,59.3
1.5,5.0,trimestriel,Diminution,64.5
1.5,5.0,trimestriel,Stable,65.5
1.5,5.0,trimestriel,Augmentation,66.7
1.5,5.0,trimestriel,Global,65.3
1.5,5.0,mensuel,Diminution,71.5
1.5,5.0,mensuel,Stable,71.3
1.5,5.0,mensuel,Augmentation,73.4
1.5,5.0,mensuel,Global,71.5
1.5,10.0,annuel,Diminution,71.6
1.5,10.0,annuel,Stable,46.1
1.5,10.0,annuel,Augmentation,55.2
1.5,10.0,annuel,Global,54.9
1.5,10.0,semestriel,Diminution,70.6
1.5,10.0,semestriel,Stable,55.2
1.5,10.0,semestriel,Augmentation,56.5
1.5,10.0,semestriel,Global,59.5
1.5,10.0,trimestriel,Diminution,69.6
1.5,10.0,trimestriel,Stable,67.5
1.5,10.0,trimestriel,Augmentation,60.1
1.5,10.0,trimestriel,Global,67.4
1.5,10.0,mensuel,Diminution,71.5
1.5,10.0,mensuel,Stable,71.3
1.5,10.0,mensuel,Augmentation,73.4
1.5,10.0,mensuel,Global,71.5
1.5,15.0,annuel,Diminution,73.8
1.5,15.0,annuel,Stable,44.9
1.5,15.0,annuel,Augmentation,57.1
1.5,15.0,annuel,Global,54.9
1.5,15.0,semestriel,Diminution,70.9
1.5,15.0,semestriel,Stable,54.6
1.5,15.0,semestriel,Augmentation,55.3
1.5,15.0,semestriel,Global,59.1
1.5,15.0,trimestriel,Diminution,69.8
1.5,15.0,trimestriel,Stable,67.3
1.5,15.0,trimestriel,Augmentation,60.2
1.5,15.0,trimestriel,Global,67.4
1.5,15.0,mensuel,Diminution,71.4
1.5,15.0,mensuel,Stable,71.5
1.5,15.0,mensuel,Augmentation,71.5
1.5,15.0,mensuel,Global,71.5
1.5,20.0,annuel,Diminution,54.1
1.5,20.0,annuel,Stable,39.5
1.5,20.0,annuel,Augmentation,76.0
1.5,20.0,annuel,Global,49.4
1.5,20.0,semestriel,Diminution,71.3
1.5,20.0,semestriel,Stable,53.6
1.5,20.0,semestriel,Augmentation,55.6
1.5,20.0,semestriel,Global,58.5
1.5,20.0,trimestriel,Diminution,64.4
1.5,20.0,trimestriel,Stable,67.2
1.5,20.0,trimestriel,Augmentation,64.6
1.5,20.0,trimestriel,Global,66.3
1.5,20.0,mensuel,Diminution,71.6
1.5,20.0,mensuel,Stable,71.5
1.5,20.0,mensuel,Augmentation,71.7
1.5,20.0,mensuel,Global,71.5
2.0,5.0,annuel,Diminution,65.1
2.0,5.0,annuel,Stable,50.0
2.0,5.0,annuel,Augmentation,61.5
2.0,5.0,annuel,Global,55.5
2.0,5.0,semestriel,Diminution,71.1
2.0,5.0,semestriel,Stable,61.1
2.0,5.0,semestriel,Augmentation,52.0
2.0,5.0,semestriel,Global,62.2
2.0,5.0,trimestriel,Diminution,70.3
2.0,5.0,trimestriel,Stable,69.9
2.0,5.0,trimestriel,Augmentation,58.6
2.0,5.0,trimestriel,Global,69.2
2.0,5.0,mensuel,Diminution,72.3
2.0,5.0,mensuel,Stable,82.6
2.0,5.0,mensuel,Augmentation,59.6
2.0,5.0,mensuel,Global,80.5
2.0,10.0,annuel,Diminution,66.1
2.0,10.0,annuel,Stable,48.4
2.0,10.0,annuel,Augmentation,62.1
2.0,10.0,annuel,Global,54.9
2.0,10.0,semestriel,Diminution,71.5
2.0,10.0,semestriel,Stable,60.2
2.0,10.0,semestriel,Augmentation,52.8
2.0,10.0,semestriel,Global,61.8
2.0,10.0,trimestriel,Diminution,70.4
2.0,10.0,trimestriel,Stable,69.8
2.0,10.0,trimestriel,Augmentation,58.4
2.0,10.0,trimestriel,Global,69.1
2.0,10.0,mensuel,Diminution,72.3
2.0,10.0,mensuel,Stable,82.6
2.0,10.0,mensuel,Augmentation,59.6
2.0,10.0,mensuel,Global,80.5
2.0,15.0,annuel,Diminution,66.1
2.0,15.0,annuel,Stable,47.6
2.0,15.0,annuel,Augmentation,62.4
2.0,15.0,annuel,Global,54.3
2.0,15.0,semestriel,Diminution,72.0
2.0,15.0,semestriel,Stable,60.1
2.0,15.0,semestriel,Augmentation,52.4
2.0,15.0,semestriel,Global,61.8
2.0,15.0,trimestriel,Diminution,70.2
2.0,15.0,trimestriel,Stable,69.8
2.0,15.0,trimestriel,Augmentation,58.6
2.0,15.0,trimestriel,Global,69.1
2.0,15.0,mensuel,Diminution,72.3
2.0,15.0,mensuel,Stable,82.6
2.0,15.0,mensuel,Augmentation,59.6
2.0,15.0,mensuel,Global,80.5
2.0,20.0,annuel,Diminution,75.4
2.0,20.0,annuel,Stable,49.7
2.0,20.0,annuel,Augmentation,49.2
2.0,20.0,annuel,Global,55.6
2.0,20.0,semestriel,Diminution,72.2
2.0,20.0,semestriel,Stable,59.4
2.0,20.0,semestriel,Augmentation,51.7
2.0,20.0,semestriel,Global,61.3
2.0,20.0,trimestriel,Diminution,65.6
2.0,20.0,trimestriel,Stable,69.4
2.0,20.0,trimestriel,Augmentation,65.9
2.0,20.0,trimestriel,Global,68.4
2.0,20.0,mensuel,Diminution,72.4
2.0,20.0,mensuel,Stable,82.6
2.0,20.0,mensuel,Augmentation,59.6
2.0,20.0,mensuel,Global,80.5
